x,y,flux(W/m2)
18.225,0.025,2.03748
18.175,0.025,2.09776
18.125,0.025,2.10875
18.075,0.025,2.07731
18.025,0.025,2.02027
17.975,0.025,1.99765
17.925,0.025,1.94896
17.875,0.025,1.90751
17.825,0.025,1.92789
17.775,0.025,1.93497
17.725,0.025,1.90348
17.675,0.025,1.88161
17.625,0.025,1.8865
17.575,0.025,1.93549
17.525,0.025,2.06879
17.475,0.025,2.24684
17.425,0.025,2.47749
17.375,0.025,2.78624
17.325,0.025,3.11905
17.275,0.025,3.38912
17.225,0.025,3.71063
17.175,0.025,4.04935
17.125,0.025,4.35117
17.075,0.025,4.67527
17.025,0.025,4.99221
16.975,0.025,5.35949
16.925,0.025,5.80473
16.875,0.025,6.24539
16.825,0.025,6.65944
16.775,0.025,7.14432
16.725,0.025,7.69343
16.675,0.025,8.2999
16.625,0.025,8.86125
16.575,0.025,9.11514
16.525,0.025,9.32176
16.475,0.025,9.65629
16.425,0.025,9.95939
16.375,0.025,10.2288
16.325,0.025,10.4153
16.275,0.025,10.6318
16.225,0.025,10.8033
16.175,0.025,10.9315
16.125,0.025,11.0595
16.075,0.025,11.1918
16.025,0.025,11.2418
15.975,0.025,11.3547
15.925,0.025,11.5001
15.875,0.025,11.597
15.825,0.025,11.6279
15.775,0.025,11.6173
15.725,0.025,11.5346
15.675,0.025,11.3542
15.625,0.025,11.1255
15.575,0.025,10.8695
15.525,0.025,10.5231
15.475,0.025,10.1796
15.425,0.025,9.86258
15.375,0.025,9.62411
15.325,0.025,9.28925
15.275,0.025,8.88876
15.225,0.025,8.39443
15.175,0.025,7.95378
15.125,0.025,7.58798
15.075,0.025,7.33907
15.025,0.025,7.04906
14.975,0.025,6.65082
14.925,0.025,6.14646
14.875,0.025,5.76675
14.825,0.025,5.44165
14.775,0.025,5.09512
14.725,0.025,4.71645
14.675,0.025,4.3712
14.625,0.025,4.04007
14.575,0.025,3.69834
14.525,0.025,3.38973
14.475,0.025,3.08675
14.425,0.025,2.83953
14.375,0.025,2.66172
14.325,0.025,2.44699
14.275,0.025,2.22969
14.225,0.025,2.01338
14.175,0.025,1.81669
14.125,0.025,1.68681
14.075,0.025,1.62807
14.025,0.025,1.56344
13.975,0.025,1.47971
13.925,0.025,1.41699
13.875,0.025,1.37284
13.825,0.025,1.33749
13.775,0.025,1.30994
13.725,0.025,1.32083
13.675,0.025,1.36915
13.625,0.025,1.4071
13.575,0.025,1.41558
13.525,0.025,1.44258
13.475,0.025,1.48678
13.425,0.025,1.52064
13.375,0.025,1.5362
13.325,0.025,1.5774
13.275,0.025,1.62781
13.225,0.025,1.7172
13.175,0.025,1.81018
13.125,0.025,1.86235
13.075,0.025,1.85181
13.025,0.025,1.86241
12.975,0.025,1.85265
12.925,0.025,1.8193
12.875,0.025,1.78686
12.825,0.025,1.79284
12.775,0.025,1.77951
12.725,0.025,1.75116
12.675,0.025,1.71684
12.625,0.025,1.67183
12.575,0.025,1.63649
12.525,0.025,1.59097
12.475,0.025,1.52474
12.425,0.025,1.44304
12.375,0.025,1.34308
12.325,0.025,1.22921
12.275,0.025,1.12142
12.225,0.025,1.01895
12.175,0.025,0.880986
12.125,0.025,0.753426
12.075,0.025,0.64145
12.025,0.025,0.531998
11.975,0.025,0.454673
11.925,0.025,0.403956
11.875,0.025,0.366242
11.825,0.025,0.324848
11.775,0.025,0.272167
11.725,0.025,0.222885
11.675,0.025,0.176552
11.625,0.025,0.130015
11.575,0.025,0.0858466
11.525,0.025,0.0669455
11.475,0.025,0.0547646
11.425,0.025,0.0539751
11.375,0.025,0.0590557
11.325,0.025,0.0558531
11.275,0.025,0.052371
11.225,0.025,0.0501823
11.175,0.025,0.0371751
11.125,0.025,0.0273067
11.075,0.025,0.0250397
11.025,0.025,0.0188718
10.975,0.025,0.0156173
10.925,0.025,0.0132249
10.875,0.025,0.00773938
10.825,0.025,0.00431082
10.775,0.025,0.00300479
10.725,0.025,0.00224005
10.675,0.025,0.00108803
10.625,0.025,0.000147036
10.575,0.025,1.19754e-05
10.525,0.025,0
10.475,0.025,0
10.425,0.025,0
10.375,0.025,0
10.325,0.025,0
10.275,0.025,0
10.225,0.025,0
10.175,0.025,0
10.125,0.025,0
10.075,0.025,0
10.025,0.025,0
9.975,0.025,0
9.925,0.025,0
9.875,0.025,0
9.825,0.025,0
9.775,0.025,0
9.725,0.025,0
9.675,0.025,0
9.625,0.025,0
9.575,0.025,0
9.525,0.025,0
9.475,0.025,0
9.425,0.025,0
9.375,0.025,0
9.325,0.025,0
9.275,0.025,0
9.225,0.025,0
9.175,0.025,0
9.125,0.025,0
9.075,0.025,0
9.025,0.025,0
8.975,0.025,0
8.925,0.025,0
8.875,0.025,0
8.825,0.025,0
8.775,0.025,0
8.725,0.025,0
8.675,0.025,0
8.625,0.025,0
8.575,0.025,0
8.525,0.025,0
8.475,0.025,0
8.425,0.025,0
8.375,0.025,0
8.325,0.025,0
8.275,0.025,0
8.225,0.025,0
8.175,0.025,0
8.125,0.025,0
8.075,0.025,0
8.025,0.025,0
7.975,0.025,0
7.925,0.025,0
7.875,0.025,0
7.825,0.025,0
7.775,0.025,0
7.725,0.025,0
7.675,0.025,0
7.625,0.025,0
7.575,0.025,0
7.525,0.025,0
7.475,0.025,0
7.425,0.025,0
7.375,0.025,0
7.325,0.025,0
7.275,0.025,0
7.225,0.025,0
7.175,0.025,0
7.125,0.025,0
7.075,0.025,0
7.025,0.025,0
6.975,0.025,0
6.925,0.025,0
6.875,0.025,0
6.825,0.025,0
6.775,0.025,0
